"Parameter", "Search space"
"l2", "[0, 10 ** -8, 10 ** -6, 10 ** -4]"
"lr", "[10 ** -2.5, 10 ** -3.5, 10 ** -1.5]"
"gat hidden features", "[[128, 128], [256, 256], [128, 64], [256, 128]]"
"number of heads", "[[2, 2], [3, 3], [4, 4], [4, 3], [3, 2]]"
"classifier hidden feats", "[128, 64, 256]"
