rmse,mae,r2,split,set
0.44383731574003865,0.32801688,0.9543670849161565,1,train
0.44588428730512136,0.33895767,0.956072818913959,2,train
0.40162674430779444,0.31148592,0.9620791225622256,3,train
0.3818694390236979,0.28945604,0.9662512947452295,4,train
0.33307440083610246,0.24965751,0.9743561565741042,5,train
0.3357581613589742,0.24825387,0.9741129348901936,6,train
0.3217118910122709,0.23540983,0.9768403332008744,7,train
0.4329775306254584,0.32683983,0.958052564063021,8,train
0.6198080418664795,0.48650068,0.9100520525425785,9,train
0.34580574021315885,0.24990247,0.9720314568118197,10,train
0.35340817541471076,0.2603794,0.971829759640871,11,train
0.4022202533702423,0.30218276,0.962961099544579,12,train
0.3665347079500059,0.27379286,0.9703212077359338,13,train
0.5053882245832193,0.38755873,0.9414914484116831,14,train
0.431620239190681,0.32745495,0.9586505437109241,15,train
0.5430528314928101,0.41164306,0.9277914404601221,1,validation
0.6114340498443904,0.455069,0.8960157748266733,2,validation
0.6012137008701635,0.48985523,0.9386137169336022,3,validation
0.6294981972469365,0.46269473,0.925334240618204,4,validation
0.6316688234054195,0.4867589,0.9251358997003408,5,validation
0.4725708844990324,0.37747645,0.9492277677555031,6,validation
0.5224469904954294,0.38442,0.9368426253912321,7,validation
0.6344834624901643,0.42528033,0.8914675112318803,8,validation
0.801910162888412,0.5654188,0.8703125119926294,9,validation
0.5015462272594938,0.3639367,0.947533650945043,10,validation
0.7213290424768709,0.5161097,0.8963611422538754,11,validation
0.5165572264598876,0.39487922,0.9445673296924931,12,validation
0.5750998399964775,0.45154262,0.9096809323826509,13,validation
0.612872844216875,0.4866157,0.9217541449818902,14,validation
0.5067347313416019,0.38644418,0.9426244137472447,15,validation
0.5119325904447773,0.37171763,0.949797239878843,1,test
0.5510612749914862,0.39981493,0.9244524301684698,2,test
0.500619831939577,0.3832171,0.9390851772652451,3,test
0.6504788725498531,0.47784483,0.896441587838103,4,test
0.574593402321577,0.4392168,0.9105094236368069,5,test
0.7778791184669569,0.5380573,0.869680135639054,6,test
0.6280433231599253,0.43626273,0.8964643888444448,7,test
0.6012698117915818,0.45706907,0.9115655683202888,8,test
0.7186935236759936,0.5641125,0.8932199737655042,9,test
0.7444966183080274,0.48738068,0.8871576605784615,10,test
0.6444017916048292,0.48815313,0.8805068549338118,11,test
0.5635441255310155,0.42869464,0.9236752435925656,12,test
0.5985130202646644,0.47203174,0.9075583633160313,13,test
0.6063060508458179,0.4557039,0.9058310245760572,14,test
0.6676874739730732,0.48713642,0.8599798532892124,15,test
