roc_auc,prc_auc,split,set
0.994572115654127,0.979209729524548,1,train
0.9935862498688262,0.9740285695839102,2,train
0.993934541469549,0.9638965328089183,3,train
0.9949533649732367,0.976587076703901,4,train
0.9937410405145208,0.9714824707612986,5,train
0.9725807737140466,0.8596812976167902,6,train
0.9407966757330708,0.7413060553822479,7,train
0.9944536362109262,0.9744691966448567,8,train
0.9514135551702649,0.7979494622218761,9,train
0.9699984956528788,0.8485069638733282,10,train
0.9930845103029361,0.9675354435522785,11,train
0.9919506591855374,0.9489627638653065,12,train
0.9907996358649048,0.9566897230651169,13,train
0.9934065196016091,0.9727701864884513,14,train
0.9798860476130282,0.9047007609962909,15,train
0.9714633165093995,0.829596854211837,1,validation
0.9253544312302626,0.7560476691814473,2,validation
0.9451824228986092,0.8731704008292223,3,validation
0.9832492548435171,0.9011444296729378,4,validation
0.921781562856951,0.7232245959035779,5,validation
0.8935,0.6786957109922843,6,validation
0.7775590551181102,0.5663024642856183,7,validation
0.7709655385157765,0.5723257083638509,8,validation
0.913397593064436,0.7074134858117512,9,validation
0.9603945578231292,0.8415321378282559,10,validation
0.839,0.5696800760763844,11,validation
0.8330629136419723,0.7219102483039428,12,validation
0.8472326454033771,0.7101542079833494,13,validation
0.9038133952768099,0.7185035141126703,14,validation
0.9342679211469533,0.7461942155192771,15,validation
0.7700729927007299,0.659906307815886,1,test
0.944591904445919,0.8166523828995388,2,test
0.5813940396978192,0.5252903878204066,3,test
0.8174107142857143,0.6771160432176047,4,test
0.895199376213315,0.7512370819101061,5,test
0.8713477220682566,0.7699260371077479,6,test
0.9441216723915844,0.7670044755804744,7,test
0.9233363014384912,0.7659604146923118,8,test
0.8620179214848332,0.6735317563717806,9,test
0.8968338399189464,0.7860767696999946,10,test
0.8502523844915149,0.6818246159066723,11,test
0.8404000391236307,0.6531601963999997,12,test
0.8866975984429847,0.6304766528235904,13,test
0.8448964291069554,0.6468510250239647,14,test
0.7535714285714286,0.540770110808415,15,test
