roc_auc,prc_auc,split,set
0.9663059720184132,0.600830283045139,1,train
0.9437661301990703,0.5831659875081261,2,train
0.9222959580846887,0.5494677519296329,3,train
0.9181400018758615,0.49497815871481454,4,train
0.9758620847913184,0.6569136799717488,5,train
0.9583259623146351,0.6020602614745155,6,train
0.9756275856629264,0.6260147734632336,7,train
0.9771993190733477,0.651354889686509,8,train
0.9618583152816584,0.5533997146206968,9,train
0.9351650406613439,0.5495629587967987,10,train
0.9556648138802262,0.6019284262327528,11,train
0.9638780830663769,0.6171798618171207,12,train
0.9653154955819225,0.575283185452002,13,train
0.9694333333759045,0.6283011936170896,14,train
0.9484159547067877,0.5879003066100165,15,train
0.8905455508474577,0.5124593320870799,1,validation
0.8978935177222012,0.4555754088289469,2,validation
0.8915898782525662,0.4999735016034329,3,validation
0.8791374537980873,0.4377041549044009,4,validation
0.8765315610715789,0.48951627066036824,5,validation
0.8916829792313201,0.46118200679804944,6,validation
0.891885151836158,0.5597140816389117,7,validation
0.8519767467580387,0.39036459158789927,8,validation
0.8729298134249405,0.3193538081461862,9,validation
0.8495950181687054,0.4423928192910856,10,validation
0.8823477208184665,0.4525932219590527,11,validation
0.8784684138059787,0.5196357009675768,12,validation
0.838764891565219,0.43005155705903697,13,validation
0.8778584061589679,0.4554663698314393,14,validation
0.8940243705114322,0.4439344501778856,15,validation
0.84747976991323,0.47345620577657127,1,test
0.8453325093555807,0.42576199630919026,2,test
0.8274198989445901,0.3660462840155138,3,test
0.8738198123818864,0.5259263982430016,4,test
0.842317417133547,0.4203206796163092,5,test
0.8917636150041058,0.49080598476259507,6,test
0.845771761609325,0.49530042658454293,7,test
0.8528265107212476,0.4669467823502486,8,test
0.897309525465608,0.5078453144017996,9,test
0.8765363930704613,0.43865778415593626,10,test
0.8320455268097385,0.3481317532287858,11,test
0.8112957574666787,0.4388578961343406,12,test
0.8772644763114903,0.5327844283868773,13,test
0.8282538754021644,0.4109827195303339,14,test
0.8851917703835408,0.4199507739620464,15,test
