rmse,mae,r2,split,set,model,dataset
0.2748120500111057,0.19159201,0.9948863800248162,1,train,gcn,freesolv
0.4765723024204392,0.3579506,0.98466898303662,2,train,gcn,freesolv
0.5944987144039232,0.43304008,0.976489482912982,3,train,gcn,freesolv
0.40613605661977836,0.29842493,0.9886593094756133,4,train,gcn,freesolv
0.4253652447712134,0.3131006,0.9883263345071195,5,train,gcn,freesolv
0.8419018036130341,0.6070625,0.9496027907070472,6,train,gcn,freesolv
0.46635864947819167,0.33135182,0.985024186259094,7,train,gcn,freesolv
0.20896937414503666,0.16592982,0.997029881382333,8,train,gcn,freesolv
0.3757413252084857,0.23159727,0.9905804170553882,9,train,gcn,freesolv
0.3129010607137589,0.22281134,0.9921253219123902,10,train,gcn,freesolv
0.336264683835354,0.23200198,0.9922911566474619,11,train,gcn,freesolv
0.38345827402362215,0.2694398,0.9908081616810602,12,train,gcn,freesolv
0.2998586724102978,0.21531042,0.9941136282786883,13,train,gcn,freesolv
0.5815788917752699,0.42288348,0.9767777996892075,14,train,gcn,freesolv
0.35299124209951527,0.2528446,0.991913837081603,15,train,gcn,freesolv
0.803007316130852,0.6011176,0.9635114800575606,1,validation,gcn,freesolv
1.0972405457609744,0.7236164,0.8970407111519054,2,validation,gcn,freesolv
0.8661095044807158,0.58603936,0.9552836468964175,3,validation,gcn,freesolv
0.5652538546650516,0.43800557,0.9742235404323465,4,validation,gcn,freesolv
0.8717603314101758,0.60044295,0.9433141138970909,5,validation,gcn,freesolv
0.8307622625919336,0.6643198,0.9652960049663949,6,validation,gcn,freesolv
0.7334584136698753,0.4806453,0.9487081025681608,7,validation,gcn,freesolv
0.7588647046183307,0.5229957,0.9656755403576351,8,validation,gcn,freesolv
1.0257196970105074,0.5733055,0.9341927823503965,9,validation,gcn,freesolv
1.0232542616482587,0.60464275,0.9435676185769512,10,validation,gcn,freesolv
0.5985779480427905,0.4213369,0.9800354808102232,11,validation,gcn,freesolv
0.7137759211655161,0.47432527,0.932841427073116,12,validation,gcn,freesolv
0.7186660302910732,0.4811453,0.9624344876591336,13,validation,gcn,freesolv
0.966351801603553,0.7160651,0.9418922303782742,14,validation,gcn,freesolv
0.9030339627432276,0.5898858,0.9481031338342808,15,validation,gcn,freesolv
1.3094627114281834,0.8041854,0.855891895668886,1,test,gcn,freesolv
0.9304190570363831,0.67511743,0.9498938859916328,2,test,gcn,freesolv
0.9770002070829861,0.6355577,0.9081071994972723,3,test,gcn,freesolv
1.1554427550862796,0.6270681,0.9291101372249477,4,test,gcn,freesolv
0.6613919808055894,0.4233957,0.9529296362367118,5,test,gcn,freesolv
1.113244414138401,0.8096659,0.9216738431647259,6,test,gcn,freesolv
1.2941302933814502,0.66595566,0.9193719251846383,7,test,gcn,freesolv
1.3368610513680836,0.76381445,0.8670937703445497,8,test,gcn,freesolv
0.976679894066987,0.5719558,0.9149423442970949,9,test,gcn,freesolv
1.5053345870380794,0.7302373,0.9196283472054242,10,test,gcn,freesolv
0.999914880944634,0.6504707,0.9205273958158349,11,test,gcn,freesolv
0.878598850322955,0.62954324,0.9282918020641896,12,test,gcn,freesolv
0.87655756467902,0.58329093,0.9337134308467341,13,test,gcn,freesolv
0.9418050150952625,0.6280986,0.9407845291629519,14,test,gcn,freesolv
0.6775115908444157,0.50129974,0.9466045031197899,15,test,gcn,freesolv
