roc_auc,prc_auc,split,set
0.9654695148253032,0.9853169691071362,1,train
0.7127456104690555,0.842713411577059,2,train
0.8893483561428347,0.9524113665006084,3,train
0.9737725383048134,0.9883721809739596,4,train
0.9299872171703255,0.9693717891682786,5,train
0.9339561855670104,0.973052144988233,6,train
0.9247331960307058,0.9657178257294642,7,train
0.9417240676427716,0.976602522781856,8,train
0.9502539627776819,0.9791924914532854,9,train
0.9109408275022817,0.9604181242365832,10,train
0.9196672958942897,0.9685105995785567,11,train
0.9474707566557502,0.977701650195444,12,train
0.9321646486162212,0.9701135394088131,13,train
0.9576245704467354,0.9835710143019434,14,train
0.9216984215933501,0.9589708834990159,15,train
0.764375413086583,0.8905975636818282,1,validation
0.7206387362637362,0.8566035699496122,2,validation
0.7547222222222222,0.8499363476922024,3,validation
0.7679277244494636,0.8272522229793892,4,validation
0.7294117647058824,0.818008715445577,5,validation
0.7172222222222221,0.7565122058594866,6,validation
0.7804948216340623,0.8182621327019783,7,validation
0.7656626506024096,0.8451920568728796,8,validation
0.7975232198142415,0.8892154907650496,9,validation
0.7843618513323983,0.9191863138131573,10,validation
0.700496414782129,0.7615064567375179,11,validation
0.8242210464432687,0.8686906419069188,12,validation
0.7136015325670498,0.832896237750309,13,validation
0.6869000564652739,0.7469406973400627,14,validation
0.7400058788947679,0.827784241723037,15,validation
0.6598130841121495,0.8739054699582681,1,test
0.6864253393665158,0.748887136992168,2,test
0.6591787439613527,0.7769360594312,3,test
0.6036789297658863,0.7386840258775198,4,test
0.651229722658294,0.8205847147046408,5,test
0.7251016260162602,0.849805882729268,6,test
0.6732142857142858,0.8596350629123466,7,test
0.7206185567010309,0.831904849679877,8,test
0.636340206185567,0.8248208801418939,9,test
0.7012531328320802,0.8116789440418709,10,test
0.6835288367546432,0.8010972129008592,11,test
0.6986803519061583,0.8344512253195375,12,test
0.6922442244224423,0.8421072340385456,13,test
0.6578426521523998,0.8168707247723567,14,test
0.6847826086956522,0.7632008421525203,15,test
